type,listPrice,lastSoldPrice,sqft,stories,beds,baths_full,garage,year_built,zip,baths_partial,price_per_sqft,price_category
single_family,990000.0,925000,1284.0,1.0,3.0,2.0,0.0,1950.0,33145,0.0,720.4049844236761,alto
single_family,410000.0,385000,1600.0,1.0,3.0,2.0,2.0,2026.0,33909,0.0,240.625,medio
single_family,525000.0,532000,2902.0,2.0,5.0,3.0,2.0,2005.0,32003,1.0,183.32184700206753,alto
single_family,705000.0,690000,2016.0,1.0,3.0,3.0,2.0,2000.0,32951,0.0,342.26190476190476,alto
condos,119500.0,113000,814.0,1.0,1.0,1.0,0.0,1972.0,34996,1.0,138.82063882063883,bajo
condos,629900.0,615000,1618.0,2.0,3.0,2.0,1.0,1997.0,34109,0.0,380.09888751545117,alto
condos,299000.0,299000,1437.0,2.0,3.0,2.0,2.0,1992.0,33967,0.0,208.0723729993041,medio
single_family,489900.0,469900,2219.0,1.0,4.0,2.0,2.0,2005.0,34288,0.0,211.7620549797206,medio
single_family,950000.0,925000,2278.0,1.0,3.0,2.0,2.0,1992.0,33948,0.0,406.0579455662862,alto
condos,1500000.0,1425000,1709.0,1.0,3.0,2.0,2.0,2008.0,33401,0.0,833.8209479227619,alto
condos,1095000.0,976000,1729.0,1.0,2.0,2.0,0.0,1969.0,33483,0.0,564.4881434355118,alto
condos,249000.0,217000,1146.0,1.0,2.0,2.0,0.0,1992.0,34104,0.0,189.3542757417103,bajo
single_family,539990.0,535000,2356.0,1.0,3.0,2.0,2.0,1996.0,32256,0.0,227.0797962648557,alto
single_family,650900.0,650000,2207.0,1.0,4.0,3.0,3.0,2023.0,32901,0.0,294.5174444947893,alto
townhomes,330000.0,327500,1875.0,2.0,3.0,2.0,2.0,2006.0,32258,1.0,174.66666666666666,medio
single_family,199900.0,200000,1362.0,1.0,3.0,2.0,0.0,1963.0,32305,0.0,146.84287812041117,bajo
townhomes,520000.0,520000,1685.0,2.0,3.0,2.0,1.0,2022.0,32461,1.0,308.6053412462908,alto
single_family,549900.0,549900,2342.0,1.0,3.0,2.0,2.0,2006.0,32024,1.0,234.799316823228,alto
mobile,199999.0,185000,1512.0,1.0,3.0,2.0,0.0,1997.0,34604,0.0,122.35449735449735,bajo
condos,175000.0,165000,1256.0,1.0,2.0,2.0,0.0,1987.0,34209,0.0,131.36942675159236,bajo
single_family,729900.0,725000,3176.0,2.0,5.0,4.0,3.0,2023.0,34120,1.0,228.27455919395467,alto
condos,320000.0,290000,1200.0,1.0,2.0,2.0,0.0,1987.0,34112,0.0,241.66666666666666,bajo
single_family,150000.0,138000,1020.0,1.0,2.0,2.0,0.0,1989.0,33917,0.0,135.2941176470588,bajo
single_family,695000.0,675000,2234.0,1.0,4.0,3.0,3.0,2015.0,32953,0.0,302.14861235452105,alto
single_family,849900.0,835000,2487.0,1.0,4.0,3.0,2.0,2002.0,34119,0.0,335.7458785685565,alto
condos,272000.0,250000,1232.0,1.0,2.0,2.0,0.0,2002.0,33966,0.0,202.92207792207793,bajo
condos,269999.0,240000,1411.0,2.0,3.0,2.0,0.0,1995.0,34114,0.0,170.0921332388377,bajo
single_family,899900.0,870000,2294.0,1.0,3.0,2.0,2.0,2006.0,33928,0.0,379.2502179598954,alto
single_family,424900.0,424900,2720.0,1.0,4.0,3.0,3.0,2016.0,33881,0.0,156.21323529411765,medio
single_family,625000.0,570000,1562.0,1.0,3.0,2.0,2.0,1955.0,33406,0.0,364.9167733674776,alto
single_family,244900.0,245000,1372.0,1.0,3.0,2.0,0.0,1978.0,32303,0.0,178.57142857142858,bajo
townhomes,129900.0,124900,716.0,1.0,1.0,1.0,0.0,1982.0,32303,0.0,174.4413407821229,bajo
single_family,1499000.0,1475000,1976.0,2.0,3.0,2.0,4.0,1973.0,33037,0.0,746.4574898785426,alto
single_family,1499999.0,1350000,5218.0,2.0,4.0,3.0,0.0,1998.0,33870,0.0,258.71981602146417,alto
single_family,409900.0,409900,1902.0,1.0,3.0,2.0,2.0,2007.0,33972,0.0,215.50998948475288,medio
single_family,750000.0,700000,2037.0,1.0,3.0,2.0,2.0,2001.0,34104,0.0,343.64261168384877,alto
multi_family,249000.0,249900,1680.0,1.0,3.0,2.0,0.0,1983.0,32310,0.0,148.75,bajo
single_family,599000.0,575000,1925.0,1.0,3.0,2.0,3.0,2018.0,33914,0.0,298.7012987012987,alto
single_family,226000.0,213000,1148.0,1.0,2.0,2.0,0.0,1987.0,34450,0.0,185.54006968641116,bajo
single_family,449900.0,465000,1214.0,1.0,3.0,2.0,1.0,1959.0,33024,0.0,383.0313014827018,medio
single_family,855000.0,850000,2643.0,2.0,3.0,3.0,0.0,1901.0,32803,0.0,321.6042376087779,alto
single_family,999000.0,950000,2283.0,1.0,4.0,4.0,1.0,1962.0,33486,1.0,416.1191414805081,alto
single_family,350000.0,360000,1808.0,1.0,4.0,3.0,2.0,2003.0,33534,0.0,199.1150442477876,medio
single_family,619900.0,592000,2704.0,1.0,4.0,3.0,3.0,2023.0,33913,0.0,218.93491124260356,alto
single_family,1599900.0,1575000,3688.0,1.0,4.0,4.0,3.0,2021.0,32223,0.0,427.06073752711495,alto
single_family,735000.0,725000,3212.0,1.0,4.0,3.0,3.0,2017.0,32034,0.0,225.71606475716064,alto
condos,415000.0,405000,1669.0,3.0,2.0,2.0,2.0,2002.0,34112,0.0,242.6602756141402,medio
condos,1250000.0,1225000,1555.0,1.0,3.0,2.0,0.0,2022.0,33785,0.0,787.7813504823151,alto
single_family,495000.0,450000,1420.0,2.0,2.0,1.0,0.0,1924.0,32903,0.0,316.90140845070425,medio
single_family,1200000.0,1200000,2180.0,1.0,3.0,2.0,2.0,1989.0,32233,1.0,550.4587155963303,alto
townhomes,560000.0,555000,1787.0,2.0,3.0,2.0,1.0,2021.0,33442,1.0,310.57638500279796,alto
single_family,349900.0,340000,1799.0,1.0,4.0,2.0,2.0,2026.0,32571,0.0,188.99388549193998,medio
single_family,429900.0,429900,2018.0,1.0,3.0,2.0,3.0,2001.0,34465,0.0,213.03270564915758,medio
single_family,364000.0,364000,2160.0,2.0,4.0,3.0,2.0,2007.0,34952,1.0,168.5185185185185,medio
single_family,429900.0,410000,1852.0,1.0,4.0,2.0,2.0,2019.0,34614,0.0,221.38228941684665,medio
single_family,360000.0,360000,1816.0,1.0,2.0,2.0,2.0,2022.0,33920,0.0,198.23788546255506,medio
single_family,729900.0,740000,1404.0,1.0,4.0,2.0,4.0,1972.0,33173,0.0,527.065527065527,alto
single_family,799000.0,660000,1908.0,1.0,3.0,2.0,2.0,1989.0,34112,0.0,345.9119496855346,alto
condos,269900.0,260000,1375.0,1.0,2.0,2.0,0.0,2000.0,33908,0.0,189.0909090909091,bajo
single_family,269900.0,250000,1488.0,1.0,4.0,2.0,0.0,1986.0,32526,0.0,168.01075268817203,bajo
single_family,130000.0,126400,1152.0,1.0,4.0,1.0,0.0,1944.0,32254,0.0,109.72222222222223,bajo
single_family,345000.0,330000,1700.0,1.0,3.0,2.0,2.0,2025.0,32446,0.0,194.11764705882354,medio
single_family,79000.0,72500,2440.0,3.0,4.0,3.0,1.0,2006.0,32550,1.0,29.71311475409836,bajo
single_family,799000.0,755000,3498.0,2.0,6.0,4.0,3.0,2006.0,32962,0.0,215.83762149799887,alto
condos,185000.0,176250,1128.0,1.0,2.0,2.0,0.0,2005.0,32256,0.0,156.25,bajo
single_family,529000.0,512000,1833.0,1.0,2.0,2.0,2.0,2013.0,33905,0.0,279.32351336606655,alto
single_family,990000.0,990000,3811.0,2.0,5.0,4.0,3.0,2005.0,32835,0.0,259.77433744424036,alto
single_family,550000.0,575000,1672.0,1.0,4.0,3.0,2.0,1954.0,33056,0.0,343.8995215311005,alto
single_family,460000.0,455000,1838.0,2.0,4.0,2.0,2.0,2003.0,32940,1.0,247.55168661588684,medio
condos,2150000.0,2150000,1967.0,1.0,3.0,2.0,0.0,1982.0,34108,0.0,1093.0350788002033,alto
single_family,599888.0,592500,1730.0,1.0,4.0,2.0,2.0,2020.0,33455,0.0,342.485549132948,alto
single_family,445000.0,420000,2096.0,1.0,3.0,2.0,0.0,1982.0,33462,0.0,200.38167938931298,medio
townhomes,565000.0,565000,1848.0,2.0,3.0,2.0,2.0,1994.0,33486,1.0,305.7359307359307,alto
single_family,541850.0,541850,2794.0,2.0,5.0,4.0,3.0,2026.0,32439,0.0,193.93342877594847,alto
single_family,1400000.0,1250000,2014.0,1.0,4.0,2.0,2.0,2000.0,34145,1.0,620.6554121151936,alto
condos,2395000.0,2300000,4068.0,1.0,4.0,4.0,2.0,2003.0,34134,1.0,565.3883972468043,alto
townhomes,379900.0,365000,1296.0,2.0,3.0,2.0,0.0,1988.0,34990,0.0,281.6358024691358,medio
single_family,235000.0,235000,1036.0,1.0,2.0,2.0,1.0,1985.0,32571,0.0,226.83397683397683,bajo
condos,299000.0,290000,1380.0,1.0,3.0,2.0,0.0,2005.0,33913,0.0,210.14492753623188,bajo
single_family,855900.0,825000,2898.0,1.0,3.0,2.0,2.0,1973.0,34997,1.0,284.6790890269151,alto
single_family,379900.0,370000,1828.0,1.0,4.0,2.0,2.0,2018.0,33909,0.0,202.4070021881838,medio
single_family,600000.0,525000,1766.0,1.0,3.0,2.0,2.0,1964.0,32903,0.0,297.281993204983,alto
single_family,700000.0,650000,1931.0,1.0,3.0,2.0,2.0,2007.0,34134,0.0,336.613153806318,alto
mobile,184000.0,170000,1614.0,1.0,3.0,2.0,1.0,1998.0,34420,0.0,105.32837670384139,bajo
condos,525000.0,488500,1414.0,1.0,2.0,2.0,0.0,1983.0,34957,0.0,345.47383309759545,alto
mobile,59900.0,56000,1008.0,1.0,2.0,2.0,0.0,1987.0,33805,0.0,55.55555555555556,bajo
single_family,385900.0,385000,2175.0,1.0,3.0,2.0,2.0,1997.0,32564,0.0,177.01149425287358,medio
single_family,369900.0,369900,1536.0,1.0,3.0,2.0,2.0,1992.0,32935,0.0,240.8203125,medio
single_family,695000.0,680000,3163.0,2.0,5.0,4.0,2.0,2019.0,34787,0.0,214.98577300031616,alto
mobile,83500.0,66000,1104.0,1.0,2.0,2.0,0.0,1975.0,33773,0.0,59.78260869565217,bajo
single_family,660000.0,680000,1885.0,1.0,5.0,3.0,1.0,1981.0,33193,0.0,360.7427055702918,alto
condos,225000.0,215000,1352.0,1.0,2.0,2.0,1.0,1999.0,34203,0.0,159.02366863905326,bajo
single_family,399999.0,360000,1505.0,1.0,3.0,2.0,2.0,1926.0,32205,0.0,239.20265780730898,medio
condos,124999.0,115500,792.0,1.0,1.0,1.0,0.0,1976.0,32904,0.0,145.83333333333334,bajo
townhomes,225000.0,215000,1008.0,1.0,2.0,2.0,0.0,1990.0,32311,0.0,213.29365079365078,bajo
single_family,299900.0,295000,1359.0,1.0,3.0,2.0,2.0,1989.0,32504,0.0,217.07137601177337,bajo
single_family,295000.0,287000,1406.0,1.0,4.0,2.0,0.0,1963.0,33936,0.0,204.12517780938833,bajo
single_family,565000.0,550000,2444.0,1.0,3.0,3.0,3.0,2025.0,33928,0.0,225.04091653027822,alto
condos,199000.0,186000,910.0,1.0,1.0,1.0,0.0,1966.0,33706,0.0,204.3956043956044,bajo
condos,350000.0,340000,1944.0,1.0,3.0,2.0,2.0,2008.0,33907,0.0,174.89711934156378,medio
single_family,275000.0,270000,1574.0,1.0,3.0,2.0,2.0,2006.0,34291,0.0,171.5374841168996,bajo
single_family,2300000.0,2170000,1662.0,2.0,3.0,3.0,0.0,1901.0,33040,0.0,1305.6558363417569,alto
single_family,344900.0,345000,1453.0,1.0,3.0,2.0,2.0,1978.0,33904,0.0,237.43977976600138,medio
condos,214900.0,205000,1128.0,1.0,2.0,2.0,0.0,1984.0,33437,0.0,181.73758865248226,bajo
mobile,135000.0,119000,862.0,1.0,2.0,1.0,1.0,1969.0,34997,0.0,138.05104408352668,bajo
single_family,549900.0,526900,2001.0,1.0,3.0,2.0,2.0,1952.0,32210,0.0,263.3183408295852,alto
single_family,1199900.0,1145000,1911.0,1.0,3.0,2.0,2.0,2013.0,34120,0.0,599.1627420198848,alto
single_family,3700000.0,3200000,4379.0,1.0,4.0,4.0,3.0,2001.0,34109,0.0,730.7604475907741,alto
condos,1395000.0,1395000,1514.0,1.0,3.0,2.0,0.0,1971.0,34236,0.0,921.4002642007925,alto
condos,229900.0,215000,1104.0,1.0,2.0,2.0,0.0,2006.0,34212,0.0,194.7463768115942,bajo
single_family,725000.0,705000,2331.0,2.0,4.0,3.0,2.0,1988.0,33428,1.0,302.44530244530245,alto
single_family,535000.0,510000,1860.0,1.0,3.0,2.0,2.0,1980.0,33433,0.0,274.19354838709677,alto
single_family,379900.0,375000,1544.0,1.0,2.0,2.0,2.0,2021.0,34275,0.0,242.87564766839378,medio
single_family,505900.0,504900,3044.0,1.0,5.0,3.0,2.0,2025.0,32327,0.0,165.86727989487517,alto
single_family,274900.0,268000,1597.0,1.0,3.0,2.0,1.0,1981.0,33437,0.0,167.8146524733876,bajo
condos,1375000.0,1400000,2248.0,1.0,3.0,3.0,1.0,2004.0,34145,0.0,622.7758007117437,alto
single_family,1090017.0,1015000,2585.0,1.0,3.0,3.0,3.0,2017.0,34120,2.0,392.6499032882012,alto
single_family,564900.0,564900,2013.0,1.0,4.0,3.0,2.0,2024.0,33993,0.0,280.62593144560356,alto
single_family,550000.0,540000,1707.0,1.0,3.0,2.0,2.0,1969.0,33904,1.0,316.3444639718805,alto
single_family,450000.0,410000,1787.0,1.0,3.0,2.0,2.0,2015.0,32901,0.0,229.43480693900392,medio
single_family,405000.0,317000,1965.0,1.0,4.0,2.0,2.0,1980.0,32901,0.0,161.323155216285,medio
condos,2375000.0,2220000,2089.0,1.0,3.0,3.0,2.0,2021.0,33154,1.0,1062.7094303494496,alto
condos,1295000.0,1215000,1768.0,1.0,3.0,2.0,0.0,1992.0,34108,0.0,687.2171945701358,alto
single_family,899000.0,890000,2531.0,1.0,2.0,2.0,2.0,2020.0,33076,1.0,351.63966811536943,alto
condos,315000.0,305000,1222.0,3.0,2.0,2.0,0.0,1975.0,32084,0.0,249.59083469721767,medio
single_family,579000.0,579000,1735.0,1.0,4.0,2.0,2.0,2024.0,33991,1.0,333.71757925072046,alto
single_family,419000.0,400000,1926.0,1.0,3.0,2.0,2.0,1991.0,32935,0.0,207.68431983385256,medio
condos,375000.0,360000,1514.0,1.0,2.0,2.0,2.0,2007.0,34205,0.0,237.78071334214002,medio
single_family,365000.0,365000,1876.0,2.0,4.0,2.0,0.0,1970.0,32807,0.0,194.56289978678038,medio
single_family,338500.0,325000,1909.0,2.0,3.0,2.0,2.0,2020.0,32724,1.0,170.24620220010476,medio
condos,275000.0,265000,1058.0,1.0,2.0,2.0,0.0,2006.0,33025,0.0,250.4725897920605,bajo
single_family,259000.0,249000,1653.0,1.0,2.0,2.0,2.0,1986.0,32348,0.0,150.63520871143376,bajo
condos,350000.0,320000,1032.0,1.0,2.0,2.0,0.0,1987.0,34104,0.0,310.07751937984494,medio
single_family,339900.0,339900,2107.0,1.0,5.0,3.0,2.0,2026.0,32583,0.0,161.31941148552445,medio
